,MACD_SELL,MACD_BUY,EMA(C),EMA(V),K_SELL,K_BUY,BB_BUY,BB_SELL,ACTION,PREDICTED ACTION
0,0,0,0,0,0,0,0,0,N,S
1,0,1,1,0,0,0,1,0,N,N
2,0,1,1,0,0,0,1,0,N,N
3,0,1,1,0,0,0,1,0,N,N
4,0,1,1,0,0,0,1,0,N,N
5,0,1,1,0,0,0,1,0,N,N
6,0,1,1,0,0,0,1,0,N,N
7,0,1,1,0,0,0,1,0,N,N
8,1,0,1,0,0,0,1,0,S,S
9,1,0,1,0,0,0,1,0,S,S
10,1,0,1,0,0,0,1,0,S,S
11,1,0,1,0,0,0,1,0,S,S
12,1,0,1,0,0,0,1,0,S,S
13,1,0,1,0,0,0,1,0,S,S
14,1,0,1,0,0,0,1,0,S,S
15,1,0,1,0,0,0,1,0,S,S
16,1,0,1,0,0,0,1,0,S,S
17,1,0,1,0,0,0,1,0,S,S
18,1,0,0,1,0,0,1,0,S,S
19,1,0,0,1,0,0,1,0,S,S
20,0,1,0,1,0,1,1,0,B,N
21,0,1,0,1,1,0,1,0,S,N
22,0,1,0,1,1,0,1,0,S,N
23,0,1,0,1,1,0,1,0,S,N
24,0,1,0,1,1,0,1,0,S,N
25,0,1,0,1,0,0,1,0,N,N
26,0,1,0,1,0,0,1,0,N,N
27,0,1,0,0,0,0,1,1,B,N
28,0,1,1,0,0,0,1,0,N,N
29,0,1,1,0,0,0,1,1,B,N
30,0,1,1,0,0,0,1,0,N,N
31,0,1,1,0,0,0,1,0,N,N
32,0,1,1,0,0,0,1,0,N,N
33,0,1,1,0,0,0,1,0,N,N
34,0,1,1,0,0,1,1,0,B,N
35,0,1,1,0,0,1,0,0,B,B
36,0,1,1,0,0,1,0,0,B,B
37,0,1,1,0,0,1,0,0,B,B
38,0,1,1,0,0,0,0,0,B,B
39,1,0,1,1,0,0,0,0,S,S
40,1,0,1,1,0,1,0,0,N,N
41,1,0,1,1,1,0,0,0,S,S
42,1,0,1,1,1,0,0,0,S,S
43,1,0,1,1,1,0,0,0,S,S
44,1,0,1,1,0,1,0,0,N,N
45,1,0,1,1,0,1,0,0,N,N
46,1,0,1,1,0,1,0,0,N,N
47,1,0,1,1,0,1,0,0,N,N
48,1,0,1,1,0,1,0,0,N,N
49,1,0,1,1,0,1,0,0,N,N
50,1,0,1,1,0,1,0,0,N,N
51,1,0,1,1,0,1,0,0,N,N
52,1,0,1,1,0,1,0,0,N,N
53,1,0,1,1,0,1,0,0,N,N
54,1,0,1,0,0,0,0,0,S,S
55,1,0,1,0,0,0,1,0,S,S
56,1,0,1,0,0,0,1,0,S,S
57,1,0,1,0,0,0,1,0,S,S
58,1,0,1,0,0,0,1,0,S,S
59,1,0,1,0,0,0,1,0,S,S
60,1,0,1,0,0,1,1,0,S,N
61,1,0,1,0,0,1,0,0,N,N
62,1,0,1,0,0,1,0,0,N,N
63,1,0,0,0,0,1,0,0,N,N
64,1,0,0,0,0,1,1,0,S,N
65,1,0,0,0,0,1,1,0,S,N
66,1,0,0,0,0,1,1,0,S,N
67,1,0,0,0,1,0,1,0,S,S
68,1,0,0,0,1,0,1,0,S,S
69,0,1,0,0,0,1,1,0,B,N
70,0,1,0,0,1,0,1,0,S,N
71,0,1,0,0,0,0,0,0,B,B
72,0,1,0,0,1,0,0,0,N,N
73,0,1,0,1,0,0,0,0,B,B
74,0,1,0,1,0,0,0,0,B,B
75,0,1,0,1,0,0,0,0,B,B
76,0,1,0,1,0,0,0,0,B,B
77,0,1,0,1,0,0,0,0,B,B
78,0,1,0,1,0,0,0,1,B,B
79,0,1,0,1,0,0,0,1,B,B
80,0,1,0,1,0,0,0,1,B,B
81,0,1,0,1,0,0,0,1,B,B
82,0,1,1,1,0,0,1,1,B,N
83,0,1,1,1,0,0,1,0,N,N
84,0,1,1,1,0,0,1,0,N,N
85,0,1,1,1,0,0,1,0,N,N
86,0,1,1,1,0,0,1,0,N,N
87,0,1,1,1,0,0,1,0,N,N
88,0,1,1,0,0,0,1,0,N,N
89,0,1,1,0,0,0,1,0,N,N
90,0,1,1,0,0,0,1,0,N,N
91,0,1,1,0,0,0,1,0,N,N
92,0,1,1,0,0,0,1,0,N,N
93,0,1,1,0,0,1,0,0,B,B
94,0,1,1,0,0,1,0,0,B,B
95,0,1,1,0,0,1,0,0,B,B
96,0,1,1,0,0,1,1,0,B,N
97,0,1,1,0,0,1,0,0,B,B
98,0,1,1,0,0,0,0,0,B,B
99,0,1,1,0,0,0,0,0,B,B
100,0,1,1,1,1,0,0,0,N,N
101,0,1,1,1,1,0,0,0,N,N
102,1,0,1,1,1,0,0,0,S,S
103,1,0,1,1,1,0,0,0,S,S
104,1,0,1,1,0,1,0,0,N,N
105,1,0,1,1,0,1,0,0,N,N
106,1,0,1,1,0,1,0,0,N,N
107,1,0,1,1,0,1,0,0,N,N
108,0,1,1,1,0,1,0,0,B,B
109,1,0,1,1,0,0,0,0,S,S
110,1,0,1,1,0,1,0,0,N,N
111,1,0,1,1,0,1,0,0,N,N
112,1,0,1,1,0,1,0,0,N,N
113,1,0,1,1,0,1,0,0,N,N
114,1,0,1,1,0,1,0,0,N,N
115,1,0,1,1,0,1,0,0,N,N
116,1,0,1,0,0,0,1,0,S,S
117,1,0,1,0,0,0,1,0,S,S
118,1,0,1,0,0,0,0,0,S,S
119,1,0,1,0,0,0,0,0,S,S
120,1,0,1,0,0,1,0,0,N,N
121,1,0,1,0,0,1,0,0,N,N
122,1,0,1,0,0,1,0,0,N,N
123,1,0,1,0,0,1,0,0,N,N
124,1,0,1,0,0,1,0,0,N,N
125,1,0,1,0,0,1,0,0,N,N
126,1,0,1,0,0,1,0,0,N,N
127,1,0,0,0,0,1,0,0,N,N
128,1,0,0,0,0,1,1,0,S,N
129,1,0,0,0,0,1,1,0,S,N
130,1,0,0,0,1,0,1,0,S,S
131,1,0,0,0,0,1,1,0,S,N
132,1,0,0,0,1,0,1,0,S,S
133,1,0,0,0,0,0,1,0,S,S
134,1,0,0,0,0,0,0,0,S,S
135,1,0,0,0,0,0,0,0,S,S
136,1,0,0,0,0,0,0,0,S,S
137,0,1,0,0,0,0,0,0,B,B
138,0,1,0,0,0,0,0,0,B,B
139,0,1,0,1,0,0,0,0,B,B
140,0,1,0,1,0,0,0,0,B,B
141,0,1,0,1,0,0,0,0,B,B
142,0,1,0,1,0,0,0,0,B,B
143,0,1,0,1,0,0,0,0,B,B
144,0,1,0,1,0,0,0,0,B,B
145,0,1,0,1,0,0,0,0,B,B
146,0,1,0,1,0,0,0,0,B,B
147,0,1,0,1,0,0,0,1,B,B
148,0,1,0,1,0,0,0,1,B,B
149,0,1,0,1,0,0,0,1,B,B
150,0,1,0,1,0,0,0,1,B,B
151,0,1,0,1,0,0,0,1,B,B
152,0,1,1,0,0,0,0,1,B,B
153,0,1,1,0,0,1,1,0,B,N
154,0,1,1,0,0,1,1,0,B,N
155,0,1,1,0,0,1,1,0,B,N
156,0,1,1,0,0,1,1,0,B,N
157,0,1,1,0,0,1,1,0,B,N
158,0,1,1,0,0,1,1,0,B,N
159,0,1,1,0,0,1,1,0,B,N
160,0,1,1,0,1,0,1,0,S,N
161,0,1,1,0,0,1,1,0,B,N
162,0,1,1,0,0,1,0,0,B,B
163,0,1,1,1,0,1,0,0,B,B
164,1,0,1,1,0,1,0,0,N,N
165,1,0,1,1,0,1,0,0,N,N
166,1,0,1,1,0,1,0,0,N,N
167,1,0,1,1,0,1,0,0,N,N
168,1,0,1,1,0,0,0,0,S,S
169,1,0,1,1,0,1,0,0,N,N
170,1,0,1,1,0,1,0,0,N,N
171,1,0,1,1,0,1,0,0,N,N
172,1,0,1,1,0,1,0,0,N,N
173,1,0,1,1,0,1,0,0,N,N
174,1,0,1,1,0,1,0,0,N,N
175,1,0,1,1,0,1,0,0,N,N
176,1,0,1,1,1,0,0,0,S,S
177,1,0,1,1,0,0,1,0,S,S
178,1,0,1,1,0,0,0,0,S,S
179,1,0,1,0,0,0,0,0,S,S
180,0,1,0,0,0,1,1,0,B,N
181,0,1,0,0,1,0,1,0,S,N
182,0,1,0,0,1,0,1,0,S,N
183,0,1,0,0,1,0,1,0,S,N
184,0,1,0,0,0,1,1,0,B,N
185,0,1,0,0,0,1,1,0,B,N
186,0,1,1,0,0,0,1,0,N,N
187,0,1,1,0,0,0,1,0,N,N
188,0,1,1,0,0,0,1,1,B,N
189,0,1,1,0,0,0,1,0,N,N
190,0,1,1,0,0,0,1,0,N,N
191,0,1,1,0,0,0,1,0,N,N
192,1,0,1,0,0,0,1,0,S,S
193,1,0,1,1,0,0,1,0,S,S
194,1,0,1,0,0,0,1,0,S,S
195,1,0,1,0,0,0,1,0,S,S
196,1,0,1,1,0,0,1,0,S,S
197,1,0,1,1,0,1,1,0,S,N
198,1,0,1,1,0,1,0,0,N,N
199,1,0,1,1,0,0,1,0,S,S
200,1,0,1,1,1,0,1,0,S,S
201,1,0,1,1,0,1,1,0,S,N
202,0,1,1,1,1,0,1,0,S,N
203,0,1,1,1,0,1,1,0,B,N
204,0,1,1,1,1,0,1,0,S,N
205,0,1,1,1,0,0,1,0,N,N
206,0,1,1,1,1,0,1,0,S,N
207,0,1,1,0,1,0,1,0,S,N
208,0,1,1,0,0,0,1,0,N,N
209,0,1,1,0,1,0,1,0,S,N
210,0,1,1,0,0,0,1,0,N,N
211,0,1,1,0,0,0,1,0,N,N
212,0,1,1,0,0,0,1,0,N,N
213,0,1,1,0,0,0,1,0,N,N
214,0,1,1,0,0,0,1,0,N,N
215,0,1,1,0,0,0,1,0,N,N
216,0,1,1,0,0,0,1,0,N,N
217,0,1,1,0,0,0,0,0,B,B
218,0,1,1,0,0,0,0,0,B,B
219,0,1,1,0,0,0,0,0,B,B
